Offence group,Code,Community safety partnership,Police force area,Crime Severity Score Apr 15 - Mar 16,Crime Severity Score Apr 16 - Mar 17,Crime Severity Score Apr 17 - Mar 18,Crime Severity Score Apr 18 - Mar 19,Crime Severity Score Apr 19 - Mar 20,Crime Severity Score Apr 20 - Mar 21,"Offence rate per 1,000 population Apr 15 - Mar 16","Offence rate per 1,000 population Apr 16 - Mar 17","Offence rate per 1,000 population Apr 17 - Mar 18","Offence rate per 1,000 population Apr 18 - Mar 19","Offence rate per 1,000 population Apr 19 - Mar 20","Offence rate per 1,000 population Apr 20 - Mar 21"
Total recorded crime,E06000022,Bath and North East Somerset,Avon and Somerset,8,8.7,10.1,9.8,9.8,8.4,57,64,66,63,65,54
Total recorded crime,E06000023,"Bristol, City of",Avon and Somerset,17.7,18.5,21,18.6,18.7,16.2,109,123,123,114,115,101
Total recorded crime,E06000024,North Somerset,Avon and Somerset,9.1,10.5,10.4,11.1,11.5,9.5,64,76,69,73,75,62
Total recorded crime,E10000027,Somerset,Avon and Somerset,8.3,9.7,10.2,10.6,10.8,9.1,57,69,68,69,71,60
Total recorded crime,E06000025,South Gloucestershire,Avon and Somerset,7.4,8.5,8.9,8.5,9.4,7.8,54,60,62,59,61,53
Total recorded crime,E06000055,Bedford,Bedfordshire,9.8,10,12.3,16.6,14,12.5,66,69,75,91,87,81
Total recorded crime,E06000056,Central Bedfordshire,Bedfordshire,7.2,7.5,9,10.7,9.3,7.2,50,51,56,68,64,51
Total recorded crime,E06000032,Luton,Bedfordshire,13.7,15.3,17.2,20,17.2,14.1,78,82,87,101,99,85
Total recorded crime,E07000008,Cambridge,Cambridgeshire,12.2,13.4,16.6,17.7,17.6,13.8,90,102,118,115,127,95
Total recorded crime,E07000009,East Cambridgeshire,Cambridgeshire,4.5,5.3,7.1,7.2,7.9,8.6,29,33,42,41,46,48
Total recorded crime,E07000010,Fenland,Cambridgeshire,9.6,10.1,11.5,12.4,12.3,11.1,58,65,72,67,70,66
Total recorded crime,E07000011,Huntingdonshire,Cambridgeshire,7.3,7.8,9.2,10.2,9.9,9.3,43,50,57,58,59,53
Total recorded crime,E06000031,Peterborough,Cambridgeshire,14.8,15.1,18.9,18.4,18.5,17.7,88,106,117,109,108,97
Total recorded crime,E07000012,South Cambridgeshire,Cambridgeshire,4.9,6.2,8.1,8.3,8.1,6.6,32,41,48,47,48,41
Total recorded crime,E06000049,Cheshire East,Cheshire,6.3,6.9,10,10.9,11.1,10.9,44,55,75,81,81,71
Total recorded crime,E06000050,Cheshire West and Chester,Cheshire,7.2,8.5,11,11.5,11.2,10.7,51,63,80,86,85,74
Total recorded crime,E06000006,Halton,Cheshire,10.3,10.6,15.4,16.1,16.4,16.1,64,79,107,117,115,102
Total recorded crime,E06000007,Warrington,Cheshire,7.6,9,12.4,13.7,14.4,12.6,55,68,88,93,96,81
Total recorded crime,E09000001,City of London,City of London, : , : , : , : , : , : , : , : , : , : , : , : 
Total recorded crime,E06000001,Hartlepool,Cleveland,11.5,12.4,17.3,18.1,19,19.7,88,97,116,129,132,117
Total recorded crime,E06000002,Middlesbrough,Cleveland,16.6,18,22.3,23.8,25.8,24.9,113,119,136,161,169,146
Total recorded crime,E06000003,Redcar and Cleveland,Cleveland,11,10,13.6,14,14.2,13.8,79,77,82,93,99,92
Total recorded crime,E06000004,Stockton-on-Tees,Cleveland,10.3,11,12.7,14.3,15.4,15,70,75,83,102,101,93
Total recorded crime,E07000026,Allerdale,Cumbria,6.6,7.4,9.5,11.6,11.4,9.8,51,52,58,73,75,60
Total recorded crime,E07000027,Barrow-in-Furness,Cumbria,9.7,11.2,14.7,17.2,15.5,14.2,64,66,70,92,93,81
Total recorded crime,E07000028,Carlisle,Cumbria,9,8.6,11.3,14.9,13.6,13.2,68,66,79,97,103,81
Total recorded crime,E07000029,Copeland,Cumbria,6.6,6.7,8.6,11.2,9.9,9.8,49,44,51,71,71,59
Total recorded crime,E07000030,Eden,Cumbria,5,5.9,6.2,8.3,7.5,7,36,36,36,51,53,44
Total recorded crime,E07000031,South Lakeland,Cumbria,6.2,5.3,6.8,9,9.6,6.9,38,36,38,50,54,41
Total recorded crime,E07000032,Amber Valley,Derbyshire,7.5,8,8.7,10.6,12.4,11.1,44,43,44,50,65,60
Total recorded crime,E07000033,Bolsover,Derbyshire,8.3,7.9,9.1,11.7,12.8,10.8,48,43,46,56,70,62
Total recorded crime,E07000034,Chesterfield,Derbyshire,10,10,11.1,12.9,15.9,15.2,57,54,55,64,89,81
Total recorded crime,E06000015,Derby,Derbyshire,14.1,15.1,17.2,18.9,22,19.4,80,82,81,86,112,103
Total recorded crime,E07000035,Derbyshire Dales,Derbyshire,4.8,5.4,6.5,8,8.4,7.7,30,31,32,35,45,42
Total recorded crime,E07000036,Erewash,Derbyshire,8,8.8,10.7,11.6,12.6,11.6,49,51,57,58,71,64
Total recorded crime,E07000037,High Peak,Derbyshire,6.9,7.3,8.4,9.5,10,11.3,40,42,40,45,60,59
Total recorded crime,E07000038,North East Derbyshire,Derbyshire,5.4,5.4,6.4,8.5,10,9.5,29,29,33,37,50,51
Total recorded crime,E07000039,South Derbyshire,Derbyshire,6.2,7.6,9.2,9.8,9.5,9.2,34,39,41,43,53,50
Total recorded crime,E06000052,Cornwall,Devon and Cornwall,6.8,7.6,8.9,9.3,9.2,8.9,39,43,51,52,49,46
Total recorded crime,E22000362,East and Mid Devon,Devon and Cornwall,5,5.7,6.8,7.3,6.5,6.3,31,32,42,44,41,35
Total recorded crime,E07000041,Exeter,Devon and Cornwall,10.3,12.1,14,14.7,12.8,11.9,65,74,79,84,74,61
Total recorded crime,E06000053,Isles of Scilly,Devon and Cornwall,7.7,4,5.8,6,2.4,1.7,55,42,42,37,26,11
Total recorded crime,E07000043,North Devon,Devon and Cornwall,7.2,6.9,8.5,8.6,8.8,7.9,41,42,52,53,49,43
Total recorded crime,E06000026,Plymouth,Devon and Cornwall,11.4,12.7,15.7,17,17.3,17,68,73,87,90,87,80
Total recorded crime,E22000364,South Devon and Dartmoor,Devon and Cornwall,4.9,5.8,7.2,7.6,6.7,6.6,30,35,46,46,40,36
Total recorded crime,E06000027,Torbay,Devon and Cornwall,10.5,12.2,14.7,14.6,14.8,12.8,64,72,88,90,83,77
Total recorded crime,E06000028,Bournemouth,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Total recorded crime,E06000058,"Bournemouth, Christchurch and Poole",Dorset,9.6,10.3,12.4,13.9,14.1,12.5,68,73,78,88,87,76
Total recorded crime,E06000059,Dorset,Dorset,5.9,6.7,8.1,8.8,8.4,6.7,41,45,50,54,51,44
Total recorded crime,E22000367,Dorset (inc. Christchurch),Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Total recorded crime,E06000029,Poole,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Total recorded crime,E06000047,County Durham,Durham,8.4,9.8,14,13.9,13.4,12,55,70,93,98,98,85
Total recorded crime,E06000005,Darlington,Durham,10.4,12.2,16.8,14.6,16.1,13.7,75,96,118,113,119,96
Total recorded crime,W06000010,Carmarthenshire,Dyfed-Powys,6.4,7.3,9.3,9.9,10.2,10.2,43,45,55,62,65,65
Total recorded crime,W06000008,Ceredigion,Dyfed-Powys,9.3,9.4,9.5,11.8,10.5,9.5,51,58,53,58,61,55
Total recorded crime,W06000009,Pembrokeshire,Dyfed-Powys,5.7,7.1,9.6,10.5,10.2,10.5,37,42,51,63,68,68
Total recorded crime,W06000023,Powys,Dyfed-Powys,6.4,6.7,8.6,9.3,10.3,9.1,38,41,48,51,54,54
Total recorded crime,E07000066,Basildon,Essex,13.7,14.6,15.2,16.2,16.6,15.6,79,85,86,99,103,96
Total recorded crime,E07000067,Braintree,Essex,7.3,8.1,10.2,10.3,11.3,10.2,46,49,56,67,72,67
Total recorded crime,E07000068,Brentwood,Essex,8.5,9.4,11.3,11.7,14.1,9.9,50,58,61,74,84,71
Total recorded crime,E07000069,Castle Point,Essex,8,9.3,9,11.8,10.7,10.1,45,49,55,66,69,62
Total recorded crime,E07000070,Chelmsford,Essex,8.4,10.1,13.5,16.2,17.2,14,56,65,72,86,92,79
Total recorded crime,E07000071,Colchester,Essex,10.6,10.5,14.1,15.8,16.6,13.5,66,68,81,94,98,83
Total recorded crime,E07000072,Epping Forest,Essex,9.6,10.4,14.1,15.5,14,12,58,66,76,83,87,78
Total recorded crime,E07000073,Harlow,Essex,12.8,12.7,13.9,16.2,21.3,17.8,85,84,89,107,121,111
Total recorded crime,E07000074,Maldon,Essex,7,6.2,7.3,7.8,9.1,8.7,37,39,40,52,58,55
Total recorded crime,E07000075,Rochford,Essex,6.2,5.6,7.6,8.3,8,7.2,37,39,42,52,52,46
Total recorded crime,E06000033,Southend-on-Sea,Essex,13.3,13.4,15.4,18.1,19.6,18.5,80,84,87,110,112,99
Total recorded crime,E07000076,Tendring,Essex,11.7,12.9,14.6,16.3,16.2,15.9,71,79,86,97,98,90
Total recorded crime,E06000034,Thurrock,Essex,11.2,11.6,14.2,15.5,17.1,14.1,76,79,85,101,104,86
Total recorded crime,E07000077,Uttlesford,Essex,7.3,8.4,10.9,10.6,9.1,6.5,43,52,65,69,66,51
Total recorded crime,E07000078,Cheltenham,Gloucestershire,10.8,11.2,13.8,14.2,12.8,11.6,63,69,75,73,81,67
Total recorded crime,E07000079,Cotswold,Gloucestershire,6.1,6,7.5,7.6,7.7,7.1,36,36,37,40,45,40
Total recorded crime,E07000080,Forest of Dean,Gloucestershire,5.4,6.8,7.3,7.5,9.1,7.5,28,35,36,35,45,40
Total recorded crime,E07000081,Gloucester,Gloucestershire,13.3,15.2,15.7,17.2,17.4,16.8,76,77,83,92,105,89
Total recorded crime,E07000082,Stroud,Gloucestershire,6.5,6.3,7.2,6.8,9,6.8,37,34,39,39,48,40
Total recorded crime,E07000083,Tewkesbury,Gloucestershire,6,6.8,7.6,7.7,7.8,6.6,36,37,40,39,42,36
Total recorded crime,E08000001,Bolton,Greater Manchester,13.1,15.4,21.5,21.1,:,:,80,91,127,124.2,:,:
Total recorded crime,E08000002,Bury,Greater Manchester,11.1,14.4,18.2,18.7,:,:,65,85,100,98.4,:,:
Total recorded crime,E08000003,Manchester,Greater Manchester,23.6,26.2,40.9,37,:,:,117,141,182,169.5,:,:
Total recorded crime,E08000004,Oldham,Greater Manchester,15.6,16.8,21,22.1,:,:,89,101,125,126.8,:,:
Total recorded crime,E08000005,Rochdale,Greater Manchester,18.4,17.7,22.3,22.2,:,:,92,106,123,124.8,:,:
Total recorded crime,E08000006,Salford,Greater Manchester,12.5,14.4,21.3,22.2,:,:,74,85,122,124.4,:,:
Total recorded crime,E08000007,Stockport,Greater Manchester,10.6,12.5,16.5,15.3,:,:,65,75,90,80,:,:
Total recorded crime,E08000008,Tameside,Greater Manchester,12.8,15.6,19.2,21.7,:,:,77,95,111,114.5,:,:
Total recorded crime,E08000009,Trafford,Greater Manchester,8.9,9.5,14.1,15.9,:,:,56,64,79,82.1,:,:
Total recorded crime,E08000010,Wigan,Greater Manchester,11.2,13.7,15.6,16.1,:,:,68,79,92,90.4,:,:
Total recorded crime,W06000019,Blaenau Gwent,Gwent,9.7,10.1,14.7,15.2,15,12.3,68,73,88,104,99,90
Total recorded crime,W06000018,Caerphilly,Gwent,8.6,8.2,11.3,14.1,13.5,11.6,56,59,72,87,86,75
Total recorded crime,W06000021,Monmouthshire,Gwent,6.8,5.7,7.9,10.3,10,7.6,44,40,51,63,62,51
Total recorded crime,W06000022,Newport,Gwent,11.7,13.8,17.3,21.2,19.6,16.9,86,100,113,132,125,107
Total recorded crime,W06000020,Torfaen,Gwent,9.4,9.3,13,16.6,15.1,11,65,74,87,104,98,75
Total recorded crime,E07000085,East Hampshire,Hampshire,5.8,6.5,7.7,8.8,8,6.6,42,46,50,54,52,43
Total recorded crime,E07000086,Eastleigh,Hampshire,6.3,7.5,10.3,9.8,11.1,9.2,50,56,64,61,67,52
Total recorded crime,E07000087,Fareham,Hampshire,6,7.5,8.4,9.4,9.1,7.7,46,52,58,57,55,45
Total recorded crime,E07000088,Gosport,Hampshire,9.6,12.2,12.8,13.1,12.5,11.7,72,78,86,83,79,69
Total recorded crime,E07000090,Havant,Hampshire,9.6,11.1,13.9,13.7,13.5,11.5,72,80,88,89,84,69
Total recorded crime,E06000046,Isle of Wight,Hampshire,10,10.9,11.9,12.7,12.4,11.8,64,67,73,72,70,64
Total recorded crime,E07000091,New Forest,Hampshire,6.6,7.8,10.2,10.2,10.2,9.1,48,55,61,60,62,55
Total recorded crime,E22000374,North Hampshire,Hampshire,8.6,9,11.5,12,12,10.3,59,61,67,70,69,55
Total recorded crime,E06000044,Portsmouth,Hampshire,14.5,16.8,20.2,20,19.7,18.3,106,118,131,122,119,106
Total recorded crime,E06000045,Southampton,Hampshire,17,18.9,22.5,22.6,22.8,20.6,112,121,126,125,126,112
Total recorded crime,E07000093,Test Valley,Hampshire,7.7,8.8,10.2,10.5,11.1,10,53,55,61,62,61,53
Total recorded crime,E07000094,Winchester,Hampshire,7.7,8.7,10.1,11.1,11.3,9.1,54,55,57,61,67,50
Total recorded crime,E07000095,Broxbourne,Hertfordshire,9.6,9.8,12.3,12.8,12,10,66,71,80,84,83,69
Total recorded crime,E07000096,Dacorum,Hertfordshire,7.8,8.8,11,11.5,10.9,8.1,56,64,70,74,70,56
Total recorded crime,E07000242,East Hertfordshire,Hertfordshire,6.2,7.1,8.2,8.6,7.9,6.7,45,50,53,57,57,46
Total recorded crime,E07000098,Hertsmere,Hertfordshire,8.2,8.7,11.8,11,11.1,9.6,58,66,73,76,77,68
Total recorded crime,E07000099,North Hertfordshire,Hertfordshire,6.1,6.9,9.2,10.5,8.7,6.9,42,49,57,59,57,46
Total recorded crime,E07000240,St Albans,Hertfordshire,6.6,7.3,10.1,9.5,9.1,7,46,57,66,65,61,53
Total recorded crime,E07000243,Stevenage,Hertfordshire,9.6,12.3,13.5,14,14.1,11.1,78,94,99,100,97,83
Total recorded crime,E07000102,Three Rivers,Hertfordshire,5.4,5.6,7.9,8.2,8.3,6.9,36,43,49,50,52,49
Total recorded crime,E07000103,Watford,Hertfordshire,10.4,11.3,14.3,16,15.4,12.1,77,83,99,99,98,77
Total recorded crime,E07000241,Welwyn Hatfield,Hertfordshire,9.1,10,12.4,12.2,11.1,10.8,62,74,75,77,77,67
Total recorded crime,E06000011,East Riding of Yorkshire,Humberside,6.4,7.5,10.9,10.8,10.4,8.3,40,48,55,64,62,52
Total recorded crime,E06000010,"Kingston upon Hull, City of",Humberside,17.4,19.7,25.1,27.4,25.8,24.6,109,125,136,166,159,139
Total recorded crime,E06000012,North East Lincolnshire,Humberside,17.1,17,19.9,22.8,20.7,17.4,104,105,114,133,128,108
Total recorded crime,E06000013,North Lincolnshire,Humberside,11.8,12.5,16.1,16.6,16.3,13.7,63,73,82,96,96,80
Total recorded crime,E07000105,Ashford,Kent,8.6,10.4,15.6,16.4,14.8,13,53,65,91,103,92,78
Total recorded crime,E07000106,Canterbury,Kent,10,11.9,17.3,16.9,16.4,14.9,61,70,95,104,98,84
Total recorded crime,E22000352,Dartford and Gravesham,Kent,11,13.7,18.3,19.5,19.2,16.6,76,92,115,123,121,101
Total recorded crime,E07000108,Dover,Kent,10.1,11.5,18.2,17.8,16.1,14.4,58,66,98,108,97,86
Total recorded crime,E07000112,Folkestone and Hythe,Kent,10.9,11.8,15.8,18.2,16.2,14.6,61,71,90,109,98,88
Total recorded crime,E07000110,Maidstone,Kent,8.5,10.7,15.7,17,15.9,13.9,57,68,91,105,100,86
Total recorded crime,E06000035,Medway,Kent,12.7,14.5,19.9,21.7,20.4,19,74,84,113,127,120,106
Total recorded crime,E07000111,Sevenoaks,Kent,7.7,8.1,12.4,12.6,11.2,9.6,50,53,73,75,73,65
Total recorded crime,E07000113,Swale,Kent,10.6,12.1,16.8,18.9,17.2,16.6,71,77,101,116,111,95
Total recorded crime,E07000114,Thanet,Kent,15.3,18.1,24,25.4,23.3,20.4,86,98,130,151,141,119
Total recorded crime,E07000115,Tonbridge and Malling,Kent,6.6,7.6,10.1,12,11.3,9.9,48,55,71,76,76,62
Total recorded crime,E07000116,Tunbridge Wells,Kent,7,7.9,10.8,11.6,11.7,10.9,44,48,65,74,75,62
Total recorded crime,E06000008,Blackburn with Darwen,Lancashire,12.1,14.5,16.3,20.5,16.9,16.5,74,83,97,124,109,92
Total recorded crime,E06000009,Blackpool,Lancashire,19.3,23.9,28.5,32.6,28.4,25,117,133,158,200,174,138
Total recorded crime,E07000117,Burnley,Lancashire,16.2,18.4,20.1,24.8,21.2,19.6,93,107,120,145,126,111
Total recorded crime,E07000118,Chorley,Lancashire,7.4,8.1,10.5,12.1,10.3,8.7,48,52,60,74,65,56
Total recorded crime,E07000119,Fylde,Lancashire,6.3,7.6,8.6,11.1,9,8.6,41,47,54,70,59,48
Total recorded crime,E07000120,Hyndburn,Lancashire,12.2,13.9,16.1,21.7,17.6,15.8,73,82,93,126,104,94
Total recorded crime,E07000121,Lancaster,Lancashire,11.1,11.5,13.8,17.3,14.7,12.3,69,69,81,107,85,68
Total recorded crime,E07000122,Pendle,Lancashire,9.4,10.7,12.3,16.4,13.3,13.1,58,64,75,99,81,75
Total recorded crime,E07000123,Preston,Lancashire,13,14.7,20.4,23.2,15.6,12.4,89,95,119,140,90,69
Total recorded crime,E07000124,Ribble Valley,Lancashire,4.7,4.7,7.5,9,6.9,6.2,32,35,41,54,43,35
Total recorded crime,E07000125,Rossendale,Lancashire,9.1,11.2,12.2,14.5,12.9,10.6,50,60,68,91,78,66
Total recorded crime,E07000126,South Ribble,Lancashire,5.7,8.2,10.5,16.9,20.2,18.3,41,50,59,96,124,107
Total recorded crime,E07000127,West Lancashire,Lancashire,6.6,7.7,9.6,11.3,10.1,8.3,42,45,52,62,56,47
Total recorded crime,E07000128,Wyre,Lancashire,7.1,7.9,9.2,11.8,9.4,9.1,47,50,60,77,65,58
Total recorded crime,E07000129,Blaby,Leicestershire,6.3,7.7,10.2,9.2,10.4,9.8,47,53,62,60,59,53
Total recorded crime,E07000130,Charnwood,Leicestershire,8.6,9.7,10.9,12.7,12.1,10.8,56,61,67,75,69,65
Total recorded crime,E07000131,Harborough,Leicestershire,5,5.9,7.3,7.5,8.4,7,33,40,46,50,52,44
Total recorded crime,E07000132,Hinckley and Bosworth,Leicestershire,6.1,8,9.3,9.5,9.7,9.9,44,50,60,62,61,57
Total recorded crime,E06000016,Leicester,Leicestershire,13.9,15.1,19.3,21.4,20.8,21.5,86,95,113,123,119,112
Total recorded crime,E07000133,Melton,Leicestershire,5.5,6.5,7.9,10.1,7.9,9,38,46,54,60,56,58
Total recorded crime,E07000134,North West Leicestershire,Leicestershire,7,7.5,10.5,10.5,9.7,9.7,47,52,61,66,66,65
Total recorded crime,E07000135,Oadby and Wigston,Leicestershire,6.6,7.1,8.8,8.7,10,9.8,46,48,58,65,63,58
Total recorded crime,E06000017,Rutland,Leicestershire,4.8,5,6.3,6.4,6.1,6.2,28,29,34,41,40,36
Total recorded crime,E07000136,Boston,Lincolnshire,10.5,9.7,12.3,14.6,14.9,14.1,68,60,66,87,87,74
Total recorded crime,E07000137,East Lindsey,Lincolnshire,9.3,9.9,12.8,14.8,15.3,12.9,49,54,56,75,82,68
Total recorded crime,E07000138,Lincoln,Lincolnshire,13.9,15.3,18.5,22.1,27.1,21.8,93,93,103,123,149,119
Total recorded crime,E07000139,North Kesteven,Lincolnshire,5.4,4.5,6.2,8.5,9.6,7.4,24,26,29,39,47,37
Total recorded crime,E07000140,South Holland,Lincolnshire,6.2,7.8,8.7,10,11.5,11.1,40,41,45,62,69,57
Total recorded crime,E07000141,South Kesteven,Lincolnshire,6.7,6.5,8.1,10.6,11.7,9.7,42,41,45,58,68,51
Total recorded crime,E07000142,West Lindsey,Lincolnshire,7.9,8.9,10.3,12.3,13,11.9,41,47,49,61,62,56
Total recorded crime,E08000011,Knowsley,Merseyside,9.7,11.1,13.7,14.1,14.7,13.7,63,65,78,84,90,88
Total recorded crime,E08000012,Liverpool,Merseyside,17.1,18.8,22.7,20.5,19.7,18.4,96,103,115,122,122,112
Total recorded crime,E08000014,Sefton,Merseyside,10,10.6,13.4,12.6,12.2,11.7,58,64,74,79,79,75
Total recorded crime,E08000013,St. Helens,Merseyside,10.4,12.2,12.9,14.3,14.5,13.4,67,76,82,89,94,89
Total recorded crime,E08000015,Wirral,Merseyside,10,9.9,12.8,13.2,11.5,10.7,62,61,72,79,77,70
Total recorded crime,E09000002,Barking and Dagenham,Metropolitan Police,17.7,17,19.8,20.6,22.5,18,88,87,90,88,95,87
Total recorded crime,E09000003,Barnet,Metropolitan Police,12.5,11.9,13.6,14.7,15.5,11.9,67,69,70,75,79,66
Total recorded crime,E09000004,Bexley,Metropolitan Police,8.4,9.4,11,12.3,12.9,9.7,53,56,60,65,73,58
Total recorded crime,E09000005,Brent,Metropolitan Police,15.5,15.7,19.5,19,18,15.5,82,86,92,94,90,84
Total recorded crime,E09000006,Bromley,Metropolitan Police,10.1,10.7,12.5,12.4,12.4,10,66,66,69,72,75,63
Total recorded crime,E09000007,Camden,Metropolitan Police,20.3,20.5,29.1,26.1,25.2,15.9,128,127,153,144,149,94
Total recorded crime,E09000008,Croydon,Metropolitan Police,13.8,16.4,16.7,17.5,18.7,16.7,77,81,79,82,90,82
Total recorded crime,E09000009,Ealing,Metropolitan Police,13.4,13.6,15,16.8,17.9,15,79,83,81,86,91,83
Total recorded crime,E09000010,Enfield,Metropolitan Police,14.3,14.2,16.7,17.9,21.1,16.3,71,71,77,87,91,83
Total recorded crime,E09000011,Greenwich,Metropolitan Police,14.2,14.6,17.5,18.5,19.8,16.3,82,88,89,94,100,86
Total recorded crime,E09000012,Hackney,Metropolitan Police,18.7,20.9,23.6,25,25.4,20.5,103,113,112,117,121,104
Total recorded crime,E09000013,Hammersmith and Fulham,Metropolitan Police,16.1,16.9,19.4,27.1,22.6,16.6,113,115,120,123,125,97
Total recorded crime,E09000014,Haringey,Metropolitan Police,20,21.5,24.5,27.8,27.5,21.5,98,107,111,117,117,103
Total recorded crime,E09000015,Harrow,Metropolitan Police,10.5,11.1,11.6,13,14.3,11.4,54,55,56,63,69,59
Total recorded crime,E09000016,Havering,Metropolitan Police,11.8,11.9,15.4,14.6,13.6,10.4,68,71,74,74,74,61
Total recorded crime,E09000017,Hillingdon,Metropolitan Police,12.1,12.9,13.9,14.6,15.5,12.8,75,79,82,84,89,77
Total recorded crime,E09000018,Hounslow,Metropolitan Police,13.2,14.2,15.5,17.1,16.7,14.8,83,88,93,97,98,85
Total recorded crime,E09000019,Islington,Metropolitan Police,21.2,20.5,27.5,24.5,24.1,17.6,127,125,134,124,125,96
Total recorded crime,E09000020,Kensington and Chelsea,Metropolitan Police,17.3,18,22.9,22.9,25.9,17.2,125,129,139,144,157,103
Total recorded crime,E09000021,Kingston upon Thames,Metropolitan Police,8.6,10,11.3,13.4,14.1,11.3,60,62,66,73,74,59
Total recorded crime,E09000022,Lambeth,Metropolitan Police,19.5,20.6,22.6,22.5,22.3,19.7,111,110,108,109,108,90
Total recorded crime,E09000023,Lewisham,Metropolitan Police,15.8,16.9,17.7,19.1,20.2,16.6,85,85,83,89,95,88
Total recorded crime,E09000024,Merton,Metropolitan Police,10.7,11.1,12.2,13.1,12.5,10.8,63,64,66,68,70,62
Total recorded crime,E09000025,Newham,Metropolitan Police,18.4,18.7,22,20.8,21,17.6,92,95,100,104,102,91
Total recorded crime,E09000026,Redbridge,Metropolitan Police,12.9,13.3,17.4,16.5,15.4,13.4,67,69,79,78,79,73
Total recorded crime,E09000027,Richmond upon Thames,Metropolitan Police,8.1,9.5,12,12.3,11.4,9.3,56,61,68,66,65,59
Total recorded crime,E09000028,Southwark,Metropolitan Police,18.5,20.1,23.1,23.5,24.8,18.9,104,107,108,118,122,96
Total recorded crime,E09000029,Sutton,Metropolitan Police,8.7,9.6,11.4,11.3,11.5,10.1,55,55,60,62,69,58
Total recorded crime,E09000030,Tower Hamlets,Metropolitan Police,18.4,19.8,21.7,21.9,21.2,18.3,101,106,106,113,108,95
Total recorded crime,E09000031,Waltham Forest,Metropolitan Police,14.5,14.6,17.3,16.8,16.1,14.9,81,80,83,87,87,81
Total recorded crime,E09000032,Wandsworth,Metropolitan Police,11.6,13.4,15.1,15.4,15,13.8,74,78,80,80,80,74
Total recorded crime,E09000033,Westminster,Metropolitan Police,29.9,33.3,39.2,47,48.6,24,214,214,238,282,313,144
Total recorded crime,E07000143,Breckland,Norfolk,7.2,8.1,10,9.7,10.8,10.1,49,47,53,57,61,59
Total recorded crime,E07000144,Broadland,Norfolk,4.5,5,6.1,6.9,7.8,7.7,31,33,36,40,46,46
Total recorded crime,E07000145,Great Yarmouth,Norfolk,12.1,12.9,16,16.7,18.3,14.8,79,85,96,104,112,102
Total recorded crime,E07000146,King's Lynn and West Norfolk,Norfolk,7.3,7.9,9.4,10.2,10.6,9.9,50,51,58,62,64,62
Total recorded crime,E07000147,North Norfolk,Norfolk,5,6.1,7,8,7.9,7.6,34,34,38,40,45,45
Total recorded crime,E07000148,Norwich,Norfolk,14.6,17.3,21.3,22.3,24,21.5,102,113,123,131,136,117
Total recorded crime,E07000149,South Norfolk,Norfolk,5.7,5.8,8.1,7.5,8.6,8.8,34,37,40,43,46,48
Total recorded crime,W06000003,Conwy,North Wales,8.9,9.4,13,15.1,14.4,12.9,54,56,72,88,89,83
Total recorded crime,W06000004,Denbighshire,North Wales,10,12.1,16.5,16.9,16.9,13.4,62,69,84,107,111,90
Total recorded crime,W06000005,Flintshire,North Wales,7.4,10.9,11,12.3,11.2,11.2,47,52,62,73,72,72
Total recorded crime,W06000002,Gwynedd,North Wales,8.3,9.5,11.6,11.8,12.4,9.9,50,53,64,72,77,65
Total recorded crime,W06000001,Isle of Anglesey,North Wales,7.1,9.2,10.6,10.7,10.3,10,42,44,56,67,68,63
Total recorded crime,W06000006,Wrexham,North Wales,10.9,12.6,20.1,17.8,15.9,13.7,74,78,101,106,102,92
Total recorded crime,E06000014,City of York,North Yorkshire,8.7,8.2,9.9,11.2,10.4,8.7,61,55,58,66,65,52
Total recorded crime,E10000023,North Yorkshire,North Yorkshire,6.8,6.9,7.8,9.2,9.4,7.9,44,43,44,52,54,46
Total recorded crime,E07000150,Corby,Northamptonshire,13.5,13.1,13.8,16.6,18.9,17.1,76,75,83,90,99,94
Total recorded crime,E22000357,Daventry and South Northamptonshire,Northamptonshire,7.1,8.4,9,9.8,9.4,9.4,45,48,50,53,54,51
Total recorded crime,E07000152,East Northamptonshire,Northamptonshire,7.2,7.6,9.3,10.1,10.2,9.8,45,50,49,55,58,55
Total recorded crime,E07000153,Kettering,Northamptonshire,11.3,13.4,12.7,16.9,14.9,14.5,65,78,72,83,81,81
Total recorded crime,E07000154,Northampton,Northamptonshire,16.3,18.1,20.2,21.3,22,23,93,102,100,108,110,107
Total recorded crime,E07000156,Wellingborough,Northamptonshire,13.8,14.6,15.8,19,18.5,18.1,75,86,80,93,96,97
Total recorded crime,E08000037,Gateshead,Northumbria,10.2,11.5,14.7,15.4,15.2,13.8,64,88,101,104,99,89
Total recorded crime,E08000021,Newcastle upon Tyne,Northumbria,14.5,16.5,20.2,22.2,18.3,15.9,93,115,138,144,124,97
Total recorded crime,E08000022,North Tyneside,Northumbria,7.6,10.3,12.4,13.6,11.9,11.7,52,79,93,101,95,82
Total recorded crime,E06000057,Northumberland,Northumbria,7.1,8.3,10.7,10.9,10.6,9.9,46,61,78,79,76,68
Total recorded crime,E08000023,South Tyneside,Northumbria,9.1,11.4,13.2,14.5,14.5,12.1,65,84,101,107,102,84
